id,name,address,square_feet,PSU,EUI,city,country,state,yearBuilt,grossFloorArea,numberOfBuildings,occupancyPercentage,primaryFunction,propGrossFloorArea,referencePropertyTypeMedian,systemDefinedPropertyType,annual_electricity_use,annual_energy_cost,annual_ghg_emissions,annual_natural_gas_use,cost_per_square_foot,gas_percent_of_energy_cost,latitude,longitude
451,Mann Elementary School,4430 NEWARK STREET NW,21903.00,K-12 School,153.00,Washington,US,DC,1931,60969,1.00,100.00,K-12 School,60969.00,CBECS - Elementary/Middle & High School,K-12 School,768675.79,"$96,925.07",493.49,7176.59,$4.43,7.21%,,
452,Martin Luther King Jr. Library,901 G STREET NW,400000.00,Library,31.00,Washington,US,DC,1971,400000,1.00,100.00,Library,400000.00,CBECS - Library,Library,3662374.00,"$428,497.76",2169.96,0.00,$1.07,,,
453,Marvin Gaye Park (Watts Grant Park),4275T GOULT PLACE NE,,Other - Recreation,,,,,,,,,,,,,35110.94,"$4,107.98",20.80,0.00,,,,
454,Marvin Gaye Parky Bike/Walk Trail Lighting (East),236T 60TH STREET NE,,Other - Recreation,,,,,,,,,,,,,23214.38,"$2,716.08",13.75,0.00,,,,
455,Marvin Gaye Parky Bike/Walk Trail Lighting (West),420T 55TH STREET NE,,Other - Recreation,,,,,,,,,,,,,16724.02,"$1,956.71",9.91,0.00,,,,
456,Mayor's Guard Booth,515 OGLETHORPE AVENUE NE,,Other,,,,,,,,,,,,,0.00,$0.00,0.00,0.00,,,,
457,McGogney Elementary,3400 WHEELER ROAD SE,,Other - Public Services,,,,,,,,,,,,,0.00,"$6,633.91",36.11,6811.00,,100.0%,,
458,Mental Treatment Center,821 HOWARD ROAD SE,23903.00,Other/Specialty Hospital,79.00,Washington,US,DC,1000,23903,1.00,100.00,Office,23903.00,CBECS - Office & Bank/Financial,Office,333990.49,"$46,397.11",237.74,7515.63,$1.94,15.78%,,
459,Midline Substation (Street Cars),12TH STREET AND H STREET NE,,Other - Public Services,,,,,,,,,,,,,408830.16,"$47,833.13",242.23,0.00,,,,
46,New York Ave Bus Lot,1345 NEW YORK AVENUE NE,,Parking,,,,,,,,,,,,,380029.87,"$44,463.49",225.17,0.00,,,,
460,MM Washington Vocational School,27 O STREET NW,89700.00,Vocational School,0.00,,,,,,,,,,,,3731.00,$436.53,2.21,0.00,$0.00,,,
461,Mobile Crime Unit #1,3515 V STREET NE,,Other,,,,,,,,,,,,,8793.00,"$6,564.02",35.34,5683.00,,84.33%,,
462,Model Cities Sr Wellness Ctr,1901 EVARTS STREET NE,9813.00,Senior Care Community,59.00,Washington,US,DC,2010,9813,1.00,100.00,Other - Education,9813.00,CBECS - Education,Other - Education,168649.05,"$19,731.94",99.92,0.00,$2.01,,38.92,-76.98
463,Mt Pleasant Interim Library,3162 MOUNT PLEASANT STREET NW,,Other - Public Services,,,,,,,,,,,,,2143.00,$250.73,1.27,0.00,,,,
464,Municipal Warehouse #2,1400 G STREET SE,,Non-Refrigerated Warehouse,,Washington,US,DC,1000,0,1.00,100.00,Non-Refrigerated Warehouse,0.00,,,474332.13,"$55,496.86",281.04,0.00,,,,
465,Neighborhood Park,410 O STREET NW,,Other,,,,,,,,,,,,,0.00,$0.00,0.00,0.00,,,,
466,New Endeavors Shelter,611 N STREET NW,12754.00,Other - Public Services,67.00,Washington,US,DC,1968,11370,1.00,100.00,Other,11370.00,CBECS - Other,Other,228671.09,"$27,438.14",139.21,701.87,$2.15,2.49%,,
467,Northeast Library,330 7TH STREET NE,16000.00,Library,85.00,Washington,US,DC,2014,16000,1.00,100.00,Library,16000.00,CBECS - Library,Library,398578.84,"$46,633.72",236.16,0.00,$2.91,,,
468,Noyes Park,1000 FRANKLIN STREET NE,,Other,,,,,,,,,,,,,1740.52,$203.64,1.03,0.00,,,,
469,Office of Cable TV & Telecommunications (Formerly BET),1894 9TH STREET NE,30525.00,Office,416.00,Washington,US,DC,1000,30525,1.00,100.00,Office,27932.50,CBECS - Office & Bank/Financial,Office,1980238.00,"$289,438.53",1487.66,59292.28,$9.48,19.95%,,
47,Youth Services Administration Headquarters,1000 MOUNT OLIVET ROAD NE,105000.00,Office,115.00,Washington,US,DC,1000,105000,1.00,100.00,Office,105000.00,CBECS - Office & Bank/Financial,Office,2005808.70,"$285,357.58",1464.31,52030.76,$2.72,17.76%,,
470,Office on Aging HQ (Hayes School),500 K STREET NE,,Office,,Washington,US,DC,1980,13500,1.00,100.00,Office,13500.00,CBECS - Office & Bank/Financial,Office,773578.21,"$91,169.56",461.94,678.55,,0.72%,38.90,-77.00
471,Outdoor Lights - 11TH STREET AND O STREET SE,11TH STREET AND O STREET SE,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
472,Outdoor Lights - 1219 KENILWORTH AVENUE NE,1219 KENILWORTH AVENUE NE,,Other - Public Services,,,,,,,,,,,,,0.00,$0.00,0.00,0.00,,,,
473,Outdoor Lights - 12th Street Expressway - 12TH STREET EXPRESSWAY,12TH STREET EXPRESSWAY,,Other - Public Services,,,,,,,,,,,,,365360.20,"$42,747.14",216.48,0.00,,,,
474,Outdoor Lights - 16th Street & North Portal Drive - 16TH STREET AND NORTH PORTAL DRIVE NW,16TH STREET AND NORTH PORTAL DRIVE NW,,Other - Public Services,,,,,,,,,,,,,528.01,$61.78,0.31,0.00,,,,
475,Outdoor Lights - 17th Street and Pennsylvania Avenue - 17TH STREET AND PENSYLVANIA AVENUE SE,17TH STREET AND PENSYLVANIA AVENUE SE,,Other - Public Services,,,,,,,,,,,,,130720.65,"$15,294.32",77.45,0.00,,,,
476,Outdoor Lights - 217A New York Avenue - 217A NEW YORK AVENUE NW,217A NEW YORK AVENUE NW,,Other - Public Services,,,,,,,,,,,,,896.85,$104.93,0.53,0.00,,,,
477,Outdoor Lights - 2500 Virginia Avenue NW - 2500 VIRGINIA AVENUE NW,2500 VIRGINIA AVENUE NW,,Other - Public Services,,,,,,,,,,,,,352175.05,"$41,204.48",208.66,0.00,,,,
478,Outdoor Lights - 281A New York Avenue - 281A NEW YORK AVENUE NW,281A NEW YORK AVENUE NW,,Other - Public Services,,,,,,,,,,,,,1880.79,$220.05,1.11,0.00,,,,
479,Outdoor Lights - 321A NEW YORK AVE NW,321A NEW YORK AVE NW,,Other - Public Services,,,,,,,,,,,,,9825.21,"$1,149.55",5.82,0.00,,,,
48,Hamilton Center,1401 BRENTWOOD PARKWAY NE,180700.00,Other - Public Services,52.00,,,,,,,,,,,,569215.00,"$139,255.63",732.77,74597.00,$0.77,52.18%,,
480,Outdoor Lights - 3392T GARFIELD STREET NW,3392T GARFIELD STREET NW,,Other - Public Services,,,,,,,,,,,,,703.59,$82.32,0.42,0.00,,,,
481,Outdoor Lights - 402A NEW YORK AVENUE NW,402A NEW YORK AVENUE NW,,Other - Public Services,,,,,,,,,,,,,6636.54,$776.48,3.93,0.00,,,,
482,Outdoor Lights - 460A NEW YORK AVE NW,460A NEW YORK AVE NW,,Other - Public Services,,,,,,,,,,,,,4799.82,$561.58,2.84,0.00,,,,
483,Outdoor Lights - 4TH STREET AND F STREET (FREEWAY),4TH STREET AND F STREET (FREEWAY),,Other - Public Services,,,,,,,,,,,,,18265.19,"$2,137.03",10.82,0.00,,,,
484,Outdoor Lights - 735A 3RD STREET NW,735A 3RD STREET NW,,Other - Public Services,,,,,,,,,,,,,830.65,$97.19,0.49,0.00,,,,
485,Outdoor Lights - 9TH STREET EXPRESSWAY,9TH STREET EXPRESSWAY,,Other - Public Services,,,,,,,,,,,,,8261.41,$966.58,4.89,0.00,,,,
486,Outdoor Lights - ANACOSTIA FREEWAY AND 11TH STREET (BRIDGE) SE,ANACOSTIA FREEWAY AND 11TH STREET (BRIDGE) SE,,Other - Public Services,,,,,,,,,,,,,4948.00,$578.92,2.93,0.00,,,,
487,Outdoor Lights - ANACOSTIA FREEWAY AND FIRTH STERLING AVENUE,ANACOSTIA FREEWAY AND FIRTH STERLING AVENUE,,Other - Public Services,,,,,,,,,,,,,10598.67,"$1,240.04",6.28,0.00,,,,
488,Outdoor Lights - G STREET AND SOUTHWEST FREEWAY (RAMP) SW,G STREET AND SOUTHWEST FREEWAY (RAMP) SW,,Other - Public Services,,,,,,,,,,,,,4170.78,$487.98,2.47,0.00,,,,
489,Outdoor Lights - G STREET BETWEEN 13 STREET AND 14TH STREET SE,G STREET BETWEEN 13 STREET AND 14TH STREET SE,,Other - Public Services,,,,,,,,,,,,,18404.30,"$2,153.30",10.90,0.00,,,,
49,Engine Company #10,1342 FLORIDA AVENUE NE,13100.00,Fire Station,74.00,Washington,US,DC,1929,13100,1.00,100.00,Other - Public Services,13100.00,CBECS - Other,Other - Public Services,146571.51,"$21,675.79",111.49,4647.77,$1.65,20.88%,,
490,Outdoor Lights - Lower 10th Street SW,10TH STREET (LOWER) SW,,Other - Public Services,,,,,,,,,,,,,459848.94,"$53,802.33",272.46,0.00,,,,
491,Outdoor Lights - NEW JERSEY AVENUE AND K STREET SE,NEW JERSEY AVENUE AND K STREET SE,,Other - Public Services,,,,,,,,,,,,,2143.00,$250.73,1.27,0.00,,,,
492,Outdoor Lights - ROCK CREEK PARKWAY NW,ROCK CREEK PARKWAY NW,,Other - Public Services,,,,,,,,,,,,,425888.40,"$49,828.94",252.34,0.00,,,,
493,Outdoor Lights - SOUTH CAPITOL STREET AND M STREET SW,SOUTH CAPITOL STREET AND M STREET SW,,Other - Public Services,,,,,,,,,,,,,14311.96,"$1,674.50",8.48,0.00,,,,
494,Outdoor Lights - SOUTH CAPITOL STREET AND SOUTHERN AVENUE,SOUTH CAPITOL STREET AND SOUTHERN AVENUE,,Other - Public Services,,,,,,,,,,,,,1671.63,$195.58,0.99,0.00,,,,
495,Outdoor Lights - SOUTHWEST FREEWAY AND SECOND STREET NW,SOUTHWEST FREEWAY AND SECOND STREET NW,,Other - Public Services,,,,,,,,,,,,,168071.12,"$19,664.32",99.58,0.00,,,,
496,Outdoor Lights (Annex 9),350 MCMILLAN DRIVE NW,,Other - Public Services,,,,,,,,,,,,,78762.24,"$10,512.77",53.73,1332.23,,12.34%,,
497,Overhead Guide Sign on the 14th St Bridge,I395 AND MAINE AVENUE NW,,Other - Public Services,,,,,,,,,,,,,12480.37,"$1,460.20",7.39,0.00,,,,
498,Overpass Lights,14TH STREET OVERPASS (UNDER),,Other - Public Services,,,,,,,,,,,,,71359.33,"$8,349.04",42.28,0.00,,,,
499,Palisades Library,4901 V STREET NW,20110.00,Library,42.00,Washington,US,DC,1936,20110,1.00,100.00,Library,20110.00,CBECS - Library,Library,169824.84,"$22,496.09",114.92,2696.70,$1.12,11.68%,,
5,Garfield Park,200 F STREET NE,,Other - Recreation,,,,,,,,,,,,,10963.02,"$1,282.67",6.50,0.00,,,38.90,-77.00
50,5th St. Bus Lot,2115 5TH STREET NE,,Parking,,,,,,,,,,,,,203431.81,"$37,343.37",194.25,13903.34,,36.26%,38.92,-77.00
500,Park Walkway Lights,301 CONSTITUTION AVENUE NW,,Other,,,,,,,,,,,,,63620.65,"$7,443.62",37.70,0.00,,,,
501,Parking Lot - 100 MICHIGAN AVENUE NE,100 MICHIGAN AVENUE NE,,Parking,,,,,,,,,,,,,84589.47,"$9,896.97",50.12,0.00,,,,
502,Parkway Lights,14TH STREET AND POTOMAC RIVER SW,,Other - Public Services,,,,,,,,,,,,,3374.73,$394.84,2.00,0.00,,,,
503,Patterson Elementary School,4399 SOUTH CAPITOL TERRACE SW,62200.00,K-12 School,138.00,Washington,US,DC,2004,78300,1.00,100.00,K-12 School,78300.00,CBECS - Elementary/Middle & High School,K-12 School,719109.84,"$143,714.25",750.39,61168.79,$2.31,41.46%,38.83,-77.01
504,Peabody Elementary School,425 C STREET NE,37800.00,K-12 School,79.00,Washington,US,DC,1880,39334,1.00,100.00,K-12 School,39334.00,CBECS - Elementary/Middle & High School,K-12 School,620703.67,"$80,974.68",413.23,8575.31,$2.14,10.31%,,
505,Penn Center,3236 PENNSYLVANIA AVENUE SE,,Office,,Washington,US,DC,1000,1,1.00,0.00,Office,0.00,,,88008.00,"$19,412.60",101.77,9359.00,,46.96%,,
506,Phelps Vocational,704 26TH STREET NE,107801.00,Other - Public Services,19.00,,,,,,,,,,,,0.00,"$20,087.78",109.35,20624.00,$0.19,100.0%,,
507,Pleasant Hill - Group Home,2501 18TH STREET NE,,Multifamily Housing,,Washington,US,DC,2010,5000,1.00,100.00,Senior Care Community,5000.00,CBECS - Nursing,Senior Care Community,45879.74,"$8,967.62",46.78,3695.78,,40.14%,38.92,-76.98
508,Police Property Warehouse,2250 RAILROAD AVENUE SE,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
509,Q Street Bridge Lights,2200 Q STREET (BRIDGE) NW,,Other - Public Services,,,,,,,,,,,,,0.00,$0.00,0.00,0.00,,,,
51,Lemmuel Penn Center,1709 3RD STREET NE,105500.00,K-12 School,69.00,Washington,US,DC,1890,105500,1.00,100.00,Other,105500.00,CBECS - Other,Other,786024.52,"$136,634.10",708.88,45861.63,$1.30,32.69%,,
510,R.L. Christian Library,1300 H STREET NE,1400.00,Other - Public Services,13.00,,,,,,,,,,,,5312.00,$621.50,3.15,0.00,$0.44,,38.90,-76.99
511,Rabaut Middle School (Charter),100 KANSAS AVE NE,168000.00,Other - Public Services,0.00,,,,,,,,,,,,2143.00,$250.73,1.27,0.00,$0.00,,,
512,Raymond Recreation Center,3725 10TH STREET NW,17675.00,Other - Public Services,54.00,Washington,US,DC,2013,17675,1.00,100.00,Other - Recreation,17675.00,CBECS - Recreation,Other - Recreation,163207.29,"$22,968.80",117.79,3976.95,$1.30,16.86%,,
513,Refuse Transfer Station,900 NEW JERSEY AVE SE,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
514,Rehabilitation Administration,1816 19TH STREET NW,5775.00,Other - Public Services,1.00,,,,,,,,,,,,2143.00,$250.73,1.27,0.00,$0.04,,,
515,River Walk Bike Trail Lights,2100 EAST CAPITOL STREET NE,,Other - Public Services,,,,,,,,,,,,,174.29,$20.39,0.10,0.00,,,,
516,Rose School (Reno),4820 HOWARD STREET NW,,K-12 School,,,,,,,,,,,,,454557.72,"$56,393.99",286.80,3296.44,,5.69%,,
517,"Rosedale Recreaction Center, Pool and Library",1701 GALES STREET NE,26187.00,Other - Recreation,169.00,Washington,US,DC,1000,26187,0.00,100.00,Other - Recreation,26187.00,CBECS - Recreation,Other - Recreation,864472.24,"$115,546.38",590.60,14787.61,$4.41,12.47%,,
518,Ross Elementary School,1730 R STREET NW,22400.00,K-12 School,45.00,Washington,US,DC,1888,22400,1.00,100.00,K-12 School,22400.00,CBECS - Elementary/Middle & High School,K-12 School,283885.10,"$33,558.63",170.07,353.26,$1.50,1.03%,,
519,RPA Leased Property - 1920 P STREET (TUNNEL) NW,1920 P STREET (TUNNEL) NW,,Other - Public Services,,,,,,,,,,,,,1658.31,$194.02,0.98,0.00,,,,
52,Engine Company #12,2225 5TH STREET NE,15913.00,Fire Station,92.00,Washington,US,DC,1000,15913,1.00,100.00,Other - Public Services,15913.00,CBECS - Other,Other - Public Services,299415.38,"$39,334.51",200.83,4417.77,$2.47,10.94%,,
520,RPA Leased Property - 4TH STREET AND BLAIR ROAD NW,4TH STREET AND BLAIR ROAD NW,,Other - Public Services,,,,,,,,,,,,,4675.13,$546.99,2.77,0.00,,,,
521,Rudolph Elementary,5200 2ND STREET NW,84400.00,Other - Public Services,0.00,,,,,,,,,,,,2143.00,$250.73,1.27,0.00,$0.00,,,
522,Saint Elizabeth's Hospital,1100 ALABAMA AVENUE SE,450000.00,Hospital (General Medical & Surgical),77.00,Washington,US,DC,2012,450000,1.00,100.00,Hospital (General Medical & Surgical),450000.00,CBECS - Inpatient Healthcare,Hospital (General Medical & Surgical),7600731.80,"$974,274.32",4966.07,87257.39,$2.17,8.72%,38.84,-76.99
523,Salt Dome,3800T FORT DRIVE NW,,Non-Refrigerated Warehouse,,,,,,,,,,,,,32538.56,"$3,807.01",19.28,0.00,,,,
524,Salt Dome #1,POTOMAC AVENUE SW,,Non-Refrigerated Warehouse,,,,,,,,,,,,,2544.00,$297.65,1.51,0.00,,,,
525,Sasha Bruce Youthwork Inc,1701-1711 V STREET SE,,Office,,,,,,,,,,,,,136646.00,"$15,987.58",80.96,0.00,,,,
526,Scott Montgomery Elementary,421 P STREET NW,73700.00,Other - Public Services,,,,,,,,,,,,,,,,,,,,
527,Seaton Elementary School,1503 10TH STREET NW,65000.00,K-12 School,52.00,Washington,US,DC,1969,69000,1.00,100.00,K-12 School,69000.00,CBECS - Elementary/Middle & High School,K-12 School,740449.38,"$94,782.99",483.08,8367.98,$1.46,8.6%,,
528,Shaed Elementary,301 DOUGLAS STREET NE,67200.00,K-12 School,8.00,Washington,US,DC,1000,67200,1.00,100.00,Other - Education,67200.00,CBECS - Elementary/Middle & High School,K-12 School,0.00,"$5,087.09",27.69,5222.88,$0.08,100.0%,,
529,Share Computer Center,222 MASSACHUSETTS AVENUE NW,22461.00,Other - Technology/Science,1.00,,,,,,,,,,,,4286.00,$501.46,2.54,0.00,$0.02,,,
53,Langley Elementary School,101 T STREET NE,100000.00,K-12 School,65.00,Washingto,US,DC,1923,110100,1.00,100.00,K-12 School,110100.00,CBECS - Elementary/Middle & High School,K-12 School,684927.14,"$120,683.97",626.54,41629.87,$1.21,33.6%,38.92,-77.01
530,Sharpe Health Annex Charter,4300 13TH STREET NW,80500.00,Other/Specialty Hospital,61.00,Washington,US,DC,1958,80500,1.00,100.00,Urgent Care/Clinic/Other Outpatient,80500.00,CBECS - Elementary/Middle & High School,K-12 School,539931.56,"$93,193.11",483.33,30822.50,$1.16,32.21%,38.94,-77.03
531,Shepard Park Library,7420 GEORGIA AVENUE NW,19000.00,Library,65.00,Washington,US,DC,1000,19000,1.00,100.00,Library,19000.00,CBECS - Library,Library,277984.84,"$35,354.50",180.11,2905.83,$1.86,8.01%,,
532,Sibley Tower,5255 LOUGHBORO ROAD NW,,Other - Public Services,,,,,,,,,,,,,76811.39,"$8,986.93",45.51,0.00,,,,
533,Sargent Road Temporary Housing,4925 SARGENT ROAD NE,,Single Family Home,,,,,,,,,,,,,10199.33,"$2,082.82",10.89,913.24,,42.71%,38.95,-76.99
534,Skyland - RCN HUB,2800 ALABAMA AVENUE SE,,Office,,Washington,US,DC,1000,0,1.00,100.00,Office,0.00,,,4286.00,$501.46,2.54,0.00,,,,
535,South Capitol Street Bridge,2000 SOUTH CAPITOL STREET (BRIDGE) SW,,Other - Public Services,,,,,,,,,,,,,35149.20,"$4,112.46",20.83,0.00,,,,
536,Southwest Health Center (Randall School),850 DELAWARE AVENUE SW,26859.00,Other - Public Services,18.00,Washington,US,DC,1000,26859,1.00,100.00,Other,26859.00,CBECS - Other,Other,46748.00,"$8,600.58",44.74,3214.64,$0.32,36.41%,,
537,Southwest Library,900 WESLEY PLACE SW,21600.00,Other - Public Services,104.00,Washington,US,DC,1000,21600,1.00,100.00,Library,21600.00,CBECS - Library,Library,253236.09,"$43,051.94",223.11,13781.64,$1.99,31.18%,,
538,Special Operations Division,2301 L STREET NW,13547.00,Police Station,1.00,,,,,,,,,,,,2143.00,$250.73,1.27,0.00,$0.02,,,
539,Spring Road Community Support Services,1125 SPRING ROAD NW,89315.00,Office,13.00,,,,,,,,,,,,239301.35,"$31,685.75",161.86,3785.93,$0.35,11.64%,,
54,Emery Work Bed Program at Old Emery Elementary,1725 LINCOLN ROAD NE,37083.00,K-12 School,87.00,Washington,US,DC,1908,63449,1.00,100.00,Residence Hall/Dormitory,39000.00,CBECS - Dormitory,Residence Hall/Dormitory,271862.81,"$54,312.21",283.58,23104.99,$1.46,41.43%,38.91,-77.01
540,Street Car Substation,200 2ND STREET NE,,Other - Public Services,,,,,,,,,,,,,306119.04,"$35,815.93",181.38,0.00,,,,
541,Street Lighting - 200 Laboratory Drive,200 LABORATORY DRIVE SW,,Other - Public Services,,,,,,,,,,,,,14525.63,"$1,699.50",8.61,0.00,,,,
542,Street Lighting - Anacostia Freeway,I295 AND ANACOSTIA FREEWAY SW,,Other - Public Services,,,,,,,,,,,,,13721.51,"$1,605.42",8.13,0.00,,,,
543,SW Water Front Park,700 WATER STREET SW,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
544,TBD - 100 1ST STREET SE,100 1ST STREET SE,,Other - Public Services,,,,,,,,,,,,,32897.94,"$3,849.06",19.49,0.00,,,,
545,TBD - 100 CHESAPEAKE STREET (I295) SW,100 CHESAPEAKE STREET (I295) SW,,Other - Public Services,,,,,,,,,,,,,26202.74,"$3,065.72",15.53,0.00,,,,
546,TBD - 100 RHODE ISLAND AVENUE NE,100 RHODE ISLAND AVENUE NE,,Other - Public Services,,,,,,,,,,,,,940.35,$110.02,0.56,0.00,,,,
547,TBD - 1100 MAINE AVENUE SW,1100 MAINE AVENUE SW,,Other - Public Services,,,,,,,,,,,,,9641.00,"$1,128.00",5.71,0.00,,,,
548,TBD - 1312 G STREET SE,1312 G STREET SE,,Other - Public Services,,,,,,,,,,,,,0.00,$287.24,1.56,294.91,,100.0%,,
549,TBD - 1340 G STREET SE,1340 G STREET SE,,Other - Public Services,,,,,,,,,,,,,0.00,"$23,843.63",129.79,24480.11,,100.0%,,
55,McKinley Technical School,151 T STREET NE,282200.00,K-12 School,53.00,Washington,US,DC,1928,285822,1.00,100.00,K-12 School,285822.00,CBECS - Elementary/Middle & High School,K-12 School,3767927.00,"$462,541.97",2350.59,22273.63,$1.64,4.69%,38.92,-77.00
550,Yards Park,301 WATER STREET SE,,Other - Public Services,,,,,,,,,,,,,2082270.17,"$243,625.61",1233.75,0.00,,,38.87,-77.00
551,DC USA Parking Garage,3100 14TH STREET NW,,Other - Public Services,,Washington,US,DC,2010,5000,0.00,100.00,Parking,5000.00,NA,Parking,3141890.00,"$367,601.13",1861.57,0.00,,,38.93,-77.03
552,TBD - 3100 BENNING ROAD NE,3100 BENNING ROAD NE,,Other - Public Services,,,,,,,,,,,,,42.00,$4.91,0.02,0.00,,,,
554,TBD - 3401 13TH STREET SE,3401 13TH STREET SE,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
555,TBD - 3500T V STREET NE,3500T V STREET NE,,Other - Public Services,,,,,,,,,,,,,1453.00,$170.00,0.86,0.00,,,,
556,TBD - 4200 HUNT PLACE NE,4200 HUNT PLACE NE,,Other - Public Services,,,,,,,,,,,,,16153.06,"$1,889.91",9.57,0.00,,,,
557,TBD - 800 WATER STREET SW,800 WATER STREET SW,,Other - Public Services,,,,,,,,,,,,,49081.00,"$5,742.48",29.08,0.00,,,,
558,TBD - 802 WATER STREET SW,802 WATER STREET SW,,Other - Public Services,,,,,,,,,,,,,19080.00,"$2,232.36",11.30,0.00,,,,
559,TBD - 820 WATER STREET SW,820 WATER STREET SW,,Other - Public Services,,,,,,,,,,,,,59255.00,"$6,932.84",35.11,0.00,,,,
56,Harry Thomas Recreation Center,1743 LINCOLN ROAD NE,11910.00,Other - Recreation,82.00,,,,,,,,,,,,287004.50,"$33,579.53",170.05,0.00,$2.82,,,
560,TBD - 850 WATER STREET SW,850 WATER STREET SW,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
561,TBD - NORTH CAPITOL STREET AND RHODE ISLAND AVENUE NW,NORTH CAPITOL STREET AND RHODE ISLAND AVENUE NW,,Other - Public Services,,,,,,,,,,,,,102385.80,"$11,979.14",60.66,0.00,,,,
562,Terrell Park,13TH STREET AND ARKANSAS AVENUE AND EMERSON STREET NW,,Other - Public Services,,,,,,,,,,,,,1416.81,$165.77,0.84,0.00,,,,
563,Theodore Hagans Comm Ctr (Ballpark Lights),3201 FORT LINCOLN DRIVE NE,,Other - Public Services,,,,,,,,,,,,,34063.00,"$3,985.37",20.18,0.00,,,,
564,Tire Shop,1827T WEST VIRGINIA AVENUE NE,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
565,Tool House #1,1125 O STREET SE,,Other - Public Services,,,,,,,,,,,,,0.00,"$1,296.39",7.06,1331.00,,100.0%,,
566,Town Center Park - 500 I STREET SW,500 I STREET SW,,Other,,,,,,,,,,,,,25954.05,"$3,036.62",15.38,0.00,,,,
567,Town Center Park - 905 3RD STREET SW,905 3RD STREET SW,,Other - Public Services,,,,,,,,,,,,,3245.07,$379.67,1.92,0.00,,,,
568,DPW Solid Waste Transfer Station,3200 BENNING ROAD NE,,Other - Public Services,,,,,,,,,,,,,2296224.70,"$268,658.29",1360.51,0.00,,,,
569,Triangle Park at Burns Street and Alabama Avenue SE,BURNS STREET AND ALABAMA AVENUE SE,,Other - Public Services,,,,,,,,,,,,,735.59,$86.06,0.44,0.00,,,38.87,-76.94
57,School-Within-School @ Goding,920 F STREET NE,59200.00,Other - Education,63.00,Washington,US,DC,1959,59200,1.00,100.00,Other - Education,59200.00,CBECS - Elementary/Middle & High School,K-12 School,585520.11,"$85,472.45",439.28,17419.50,$1.44,19.85%,,
570,Triangle Park Reservation 0144,1700 S ST NW,,Other - Public Services,,,,,,,,,,,,,579.66,$67.82,0.34,0.00,,,,
571,Triangle Park Reservation 0145,1700 T STREET NW,,Other - Public Services,,,,,,,,,,,,,279.20,$32.67,0.17,0.00,,,,
572,Tunnel Lights - 100 PENNSYLVANIA AVENUE AND SOUTHERN AVE,100 PENNSYLVANIA AVENUE AND SOUTHERN AVE,,Other - Public Services,,,,,,,,,,,,,1054.97,$123.43,0.63,0.00,,,,
573,Tunnel Lights - 11TH STREET AND O STREET (BRIDGE) NW,11TH STREET AND O STREET (BRIDGE) NW,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
574,Tunnel Lights - 12TH STREET TUNNEL,12TH STREET TUNNEL,,Other - Public Services,,,,,,,,,,,,,102799.38,"$12,027.53",60.91,0.00,,,,
575,Tunnel Lights - 201 C STREET SW,201 C STREET SW,,Other - Public Services,,,,,,,,,,,,,2083059.67,"$243,717.98",1234.21,0.00,,,,
576,Tunnel Lights - 220 2ND STREET NW,220 2ND STREET NW,,Other - Public Services,,,,,,,,,,,,,2585658.65,"$302,522.06",1532.00,0.00,,,,
577,Tunnel Lights - 2ND STREET (SOUTHEAST FREEWAY) SE,2ND STREET (SOUTHEAST FREEWAY) SE,,Other - Public Services,,,,,,,,,,,,,24337.96,"$2,847.54",14.42,0.00,,,,
578,Tunnel Lights - 3RD STREET (SOUTHEAST FREEWAY) SE,3RD STREET (SOUTHEAST FREEWAY) SE,,Other - Public Services,,,,,,,,,,,,,20726.76,"$2,425.03",12.28,0.00,,,,
579,Tunnel Lights - 7TH STREET AND VIRGINIA AVENUE (SOUTHEAST FREEWAY),7TH STREET AND VIRGINIA AVENUE (SOUTHEAST FREEWAY),,Other - Public Services,,,,,,,,,,,,,29995.71,"$3,509.50",17.77,0.00,,,,
58,Sherwood Recreation Center,640 10TH STREET NE,45548.00,Other - Recreation,50.00,,,,,,,,,,,,516823.00,"$65,527.25",333.76,5194.00,$1.44,7.72%,38.90,-76.99
580,Tunnel Lights - 9TH STREET AND MADISON DRIVE NW,9TH STREET AND MADISON DRIVE NW,,Other - Public Services,,,,,,,,,,,,,427297.33,"$49,993.79",253.17,0.00,,,,
581,Tunnel Lights - FIFTH STREET AND VIRGINIA AVENUE SE,FIFTH STREET AND VIRGINIA AVENUE SE,,Other - Public Services,,,,,,,,,,,,,19659.23,"$2,300.13",11.65,0.00,,,,
582,Twin Oaks Garden,4025 14TH STREET NW,871.00,Other - Public Services,11.00,,,,,,,,,,,,2710.69,$324.16,1.64,7.20,$0.37,2.16%,,
583,Underpass - 14TH STREET AND MASSACHUSSETS AVENUE NE,14TH STREET AND MASSACHUSSETS AVENUE NE,,Other - Public Services,,,,,,,,,,,,,98035.60,"$11,470.17",58.09,0.00,,,,
